case_id,center,metric_name,best_case_model,nnunet_dice,mosaic_dice,case_oracle_dice,union_prediction_dice,voxel_tp_oracle_dice,unique_recovery_mosaic_over_nnunet_fraction,unique_recovery_nnunet_over_mosaic_fraction
Case8022,CenterH,lesion_union,nnunet_oof,0.6748560460652591,0.22525070712265363,0.6748560460652591,0.2258009251327737,0.9791976225854383,0.3195050946142649,0.002911208151382824
Case8023,CenterH,scar,mosaic_clean_oof,0.45514445007602633,0.4704724409448819,0.4704724409448819,0.46998908694070574,0.8867536032944406,0.24290998766954378,0.20715166461159062
Case8023,CenterH,lesion_union,nnunet_oof,0.45514445007602633,0.25847599865726756,0.45514445007602633,0.25142857142857145,0.9740670461733081,0.3958076448828607,0.0
Case1001,CenterA,scar,nnunet_oof,0.5654237288135593,0.008072027320707855,0.5654237288135593,0.21784709792891843,0.7105921601334445,0.01164294954721863,0.5342820181112549
Case1001,CenterA,lesion_union,nnunet_oof,0.5654237288135593,0.008072027320707855,0.5654237288135593,0.21784709792891843,0.7105921601334445,0.01164294954721863,0.5342820181112549
Case1003,CenterA,scar,nnunet_oof,0.4626398210290828,0.018475750577367205,0.4626398210290828,0.310122878876536,0.5483704086911536,0.009265858873841768,0.36065573770491804
Case1003,CenterA,lesion_union,nnunet_oof,0.4626398210290828,0.018475750577367205,0.4626398210290828,0.310122878876536,0.5483704086911536,0.009265858873841768,0.36065573770491804
Case1004,CenterA,scar,nnunet_oof,0.5376487386958592,0.07455442717892247,0.5376487386958592,0.3985275598178824,0.6080701581514509,0.037023927509556846,0.37215064420218036
Case1004,CenterA,lesion_union,nnunet_oof,0.5376487386958592,0.07455442717892247,0.5376487386958592,0.3985275598178824,0.6080701581514509,0.037023927509556846,0.37215064420218036
Case1005,CenterA,scar,nnunet_oof,0.6970069700697007,0.03905101826579887,0.6970069700697007,0.38989333535063164,0.865055387713998,0.007985803016858917,0.707187222715173
Case1005,CenterA,lesion_union,nnunet_oof,0.6970069700697007,0.03905101826579887,0.6970069700697007,0.38989333535063164,0.865055387713998,0.007985803016858917,0.707187222715173
Case1006,CenterA,scar,nnunet_oof,0.33782752480284917,0.10461817769204584,0.33782752480284917,0.2574511819116136,0.5139340058129594,0.040266912103083294,0.2397606994937874
Case1006,CenterA,lesion_union,nnunet_oof,0.33782752480284917,0.10461817769204584,0.33782752480284917,0.2574511819116136,0.5139340058129594,0.040266912103083294,0.2397606994937874
Case1036,CenterA,scar,nnunet_oof,0.7254532269760696,0.23939700753740578,0.7254532269760696,0.4800071562751588,0.8980753138075314,0.05528554070473876,0.49179829890643983
Case1036,CenterA,lesion_union,nnunet_oof,0.7254532269760696,0.23939700753740578,0.7254532269760696,0.4800071562751588,0.8980753138075314,0.05528554070473876,0.49179829890643983
Case1038,CenterA,scar,nnunet_oof,0.3134103465595178,0.0,0.3134103465595178,0.21681723419041002,0.42391304347826086,0.0,0.2689655172413793
Case1038,CenterA,lesion_union,nnunet_oof,0.3134103465595178,0.0,0.3134103465595178,0.21681723419041002,0.42391304347826086,0.0,0.2689655172413793
Case1043,CenterA,scar,nnunet_oof,0.46825396825396826,0.16774193548387098,0.46825396825396826,0.4353153153153153,0.6182190378710338,0.05407407407407407,0.32222222222222224
Case1043,CenterA,lesion_union,nnunet_oof,0.46825396825396826,0.16774193548387098,0.46825396825396826,0.4353153153153153,0.6182190378710338,0.05407407407407407,0.32222222222222224
Case1054,CenterA,scar,nnunet_oof,0.6890792291220557,0.02136337152845213,0.6890792291220557,0.42147168357518944,0.9011532125205931,0.015992003998001,0.7926036981509246
Case1054,CenterA,lesion_union,nnunet_oof,0.6890792291220557,0.02136337152845213,0.6890792291220557,0.42147168357518944,0.9011532125205931,0.015992003998001,0.7926036981509246
Case1056,CenterA,scar,nnunet_oof,0.7060299083453931,0.04231070589073296,0.7060299083453931,0.3966671940093867,0.8534150215566145,0.020186028102117552,0.6855333465268157
Case1056,CenterA,lesion_union,nnunet_oof,0.7060299083453931,0.04231070589073296,0.7060299083453931,0.3966671940093867,0.8534150215566145,0.020186028102117552,0.6855333465268157
Case1058,CenterA,scar,nnunet_oof,0.6765799256505576,0.05843559562567827,0.6765799256505576,0.40328584263894235,0.7893480718502701,0.047727744345299854,0.579373313965553
Case1058,CenterA,lesion_union,nnunet_oof,0.6765799256505576,0.05843559562567827,0.6765799256505576,0.40328584263894235,0.7893480718502701,0.047727744345299854,0.579373313965553
Case1063,CenterA,scar,nnunet_oof,0.6807777857501615,0.11307053941908714,0.6807777857501615,0.43476022990477825,0.8374091209517515,0.04604889141557703,0.5808698123934053
Case1063,CenterA,lesion_union,nnunet_oof,0.6807777857501615,0.11307053941908714,0.6807777857501615,0.43476022990477825,0.8374091209517515,0.04604889141557703,0.5808698123934053
Case1069,CenterA,scar,nnunet_oof,0.4460813911363362,0.08860103626943006,0.4460813911363362,0.29497614369912994,0.5668059862478091,0.04797742238946378,0.29896519285042333
Case1069,CenterA,lesion_union,nnunet_oof,0.4460813911363362,0.08860103626943006,0.4460813911363362,0.29497614369912994,0.5668059862478091,0.04797742238946378,0.29896519285042333
Case1072,CenterA,scar,nnunet_oof,0.6286165176223041,0.05509065550906555,0.6286165176223041,0.5502529140092368,0.7473118279569892,0.02670481640438722,0.558893657606104
